# Long data file split by latools on 2021:06:22 22:02:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample: PNG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Analysis Time: 2021-06-10 06:47:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Na23,Mg24,Al27,Si29,K39,Ca44,Ti47,V51,Cr52,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Y89,Zr90,Nb93,Ba137,La139,Ce140,Nd146,Sm147,Gd157,Dy163,Er166,Yb172,Hf178,Pb208,Th232,U238
13.68855,14287359.86,14701917.25,166896405.2,5456906.756,32856340.39,1490392.987,1279282.924,742729.2236,57532.09369,7912158.67,3678844.969,111898.6203,8002.560819,180798.1306,42873.39926,1700.115608,395022.3365,1534771.164,44177.92987,24173.35146,31238.98625,511870.1629,85592.04004,251453.9787,18513.70014,5501.210266,2800.313635,2750.302533,3100.384448,1550.096106,500.0100002,98788.83285,47590.4218,9903.921953
14.19556,14904039.77,12236427.46,153227819.4,4950894.796,37340138.49,1641002.568,1157726.9,553697.5178,55623.48413,7175433.04,3692449.962,95160.84994,10804.66762,172887.3906,38559.38145,1700.115608,415647.4992,1339411.767,47590.4218,22770.72136,30837.99241,447986.3517,73012.61273,307434.7169,18012.96934,2950.348141,2600.270428,4300.739727,2250.202518,2050.168114,950.0361014,73113.19809,55523.03905,9903.921953
14.70257,12424760.47,11249219.03,134918725.7,5136899.193,70411467.94,1972481.189,1103309.378,931986.3596,49497.80767,6005842.247,3377886.042,78546.00609,6301.588,160625.4328,32442.04489,800.0256008,467325.4215,1300950.201,43776.52136,24674.32889,24223.4483,547155.8067,76231.7445,223174.6493,17712.54048,2800.313635,2800.313635,3300.435658,2350.220921,2050.168114,700.0196005,76634.1941,51003.84383,10704.58156
15.20961,9875146.993,11015073.44,137556977.2,5301569.751,78878065.91,797983.2169,1093415.283,530211.431,43475.47342,6145726.86,3363456.505,83377.14563,6601.74286,147161.1873,35450.19748,65169.44055,571418.9274,1190186.851,41870.00665,24974.92498,27630.50408,752887.69,75527.4888,224447.1306,16861.36456,4550.828251,2200.193617,3250.422555,2800.313635,2200.193617,1200.057603,77338.51197,51204.66233,12806.55696
15.71658,7572959.064,12910387.07,151862886,5492907.607,81197224.88,700208.4715,1567271.761,614754.0984,53213.02446,4935724.957,3331711.522,67682.74341,6201.537981,180290.8827,54619.06957,1400.078404,607617.5492,1250246.752,45482.5964,3765408.081,27229.62583,715190.889,74722.67357,249974.75,18814.14824,3100.384448,3100.384448,4450.792241,3350.44896,1600.102407,1000.040002,89217.25656,61350.18525,32341.78559
16.22341,6875269.269,12608529.1,167495887.1,6192924.153,84247460.08,577122.185,1222745.239,722069.9476,62556.14013,5739284.345,3915901.659,65471.01028,10504.41185,197142.4425,43776.52136,2400.230422,679972.9706,1172419.713,55020.82573,26528.11981,31539.74007,682855.7692,91936.85664,245028.2441,24023.06214,3600.518475,2950.348141,4350.757032,3500.490069,2750.302533,950.0361014,108468.5843,56427.07377,16711.16306
16.73011,10741136.4,17154750.51,163319430.1,5912250.852,73695184.66,578168.9305,1483878.674,749471.849,64767.35886,6831161.465,4877733.409,72207.95892,7302.132223,252015.1108,52409.64097,1400.078404,625655.6032,861648.8464,64465.80605,27079.2998,30938.23966,693096.9842,120881.6827,285063.8094,22870.90401,4250.722623,4800.921777,6751.822992,2800.313635,3150.39695,1250.062503,78042.86941,57331.17373,18713.99807
17.23712,4940451.755,18743143.57,169050025.7,6134922.782,57531865.1,546490.5253,1547130.21,866696.616,77036.65661,4999450.169,4331472.342,71403.35676,5701.299896,276627.4104,51003.84383,1500.090005,600380.1144,756754.9572,67481.66063,28181.73263,39361.87687,494179.169,101006.45,364075.9461,23772.58395,5801.345912,5101.040612,5301.123838,3500.490069,2650.28093,1000.040002,81967.871,63963.23417,28532.52708
17.744,8859069.505,17493312.38,178283906,5622243.997,56548247.63,596396.0274,1446069.097,872632.0472,75929.91578,5312636.275,4442373.645,75426.88407,150057.645,279285.5467,51907.55245,2900.336439,593618.3848,720058.7652,69593.1907,28131.61994,36152.20378,448918.9299,108872.0693,392517.5361,25876.75657,4650.865061,5351.145145,6601.74286,4750.902672,2650.28093,1050.044102,85894.1014,59742.42594,22520.26824
18.251,6821890.662,15029721.07,164815811.3,6719603.268,40651764.09,797176.2841,1431227.955,1254725.433,67481.66063,6148835.407,4405681.392,72006.80354,7302.132223,260077.7606,49698.60203,2100.176415,559027.0394,963343.9125,101510.5085,26979.08345,48995.83585,387927.5327,106350.5007,405213.1497,27981.28307,7051.988661,4550.828251,4700.883766,4300.739727,2300.211619,900.0324012,87908.02974,55221.70865,18113.11389
18.758,11485924.96,14364621.03,158114626,5171566.679,32105523.74,2273012.637,1219564.994,690859.4655,57933.94328,4946604.871,4186764.693,71001.07504,18113.11389,263549.3468,44278.28401,1300.067604,442442.2605,979316.3075,64968.39809,24774.52678,27931.17119,376382.5053,93548.74974,356101.0836,84998.70516,4200.705719,3450.476166,5751.322804,3800.577688,1600.102407,600.0144003,73817.31818,53313.45102,17612.39913
19.26501,17405298.51,14731660.06,175274546.6,5592909.971,28748290.97,1310361.231,1240766.626,700069.9042,57029.79982,6287942.884,4423821.383,70598.80624,7202.074197,218798.294,39261.56213,2200.193617,430371.7344,1258628.585,74420.88118,24073.15838,26027.06815,298010.5644,94757.80547,299802.6615,22920.99563,3750.562584,3700.547681,4050.656206,3750.562584,2750.302533,800.0256008,72107.38083,41870.00665,14208.07018
19.77197,23503647.38,15605592.66,171701554.8,5512241.397,24073215,1555038.195,1389884.772,724246.2662,58235.33893,3560970.064,3708116.317,57632.55488,6401.63882,281739.7073,43977.22401,1200.057603,353941.0166,1384398.72,65772.58727,23472.01675,29133.91187,243345.854,94959.32609,262477.1375,22369.99878,3100.384448,3400.462463,6101.488763,3950.624199,2400.230422,750.0225007,73113.19809,40365.06849,16711.16306
20.27897,26409955.55,17872375.1,157804594.9,5490240.877,29094769.37,1825310.183,1124011.729,553384.0858,48493.88416,3602935.448,5066966.487,52108.38544,6201.537981,196025.0751,36553.36792,600.0144003,324303.0245,1641659.029,65269.96298,22219.73112,23822.67919,253239.4856,90325.17061,227908.9293,17311.97989,4150.689014,3600.518475,5401.166652,3650.532978,2300.211619,900.0324012,74722.67357,37656.63558,11805.57223
20.78598,28267531.08,17246510.27,149757728.6,5586909.829,23112741.48,1918151.706,989173.925,582537.8453,47791.18558,2818027.341,3436016.465,47891.56868,6801.850103,174408.3007,41569.00455,1200.057603,304719.4314,1565561.681,58335.80576,22019.37705,25025.02503,216458.0761,83377.14563,214729.2884,18012.96934,3850.592991,3500.490069,4500.810146,2800.313635,2450.240124,950.0361014,60144.34643,39863.46263,9003.241167
