Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NME	N	2	NME/2	body	Y	71.8	11.65	tan1	grey	tan1	Sparse			_			Y	Y												Y																				Adzera
NMH	N	12	NMH/12	body	Y	36.1	8.84	salmon3	salmon3	salmon3	Abundant			_		N	N						Y																								Y			notAdzera
NMH	N	13	NMH/13	body	N	6.3	8.37	salmon3	salmon3	salmon3	Abundant			_		N	N																																	
NMH	N	16	NMH/16	body	N	5	8.88	salmon3	salmon3	salmon3	Abundant			_		N	N																																	
NMH	N	22	NMH/22	body	N	2.7	10.3	salmon3	salmon4	salmon4	Abundant			_		N	N																																	
NMH	N	23	NMH/23	body	N	11.1	10.23	salmon4	salmon4	salmon3	Abundant			_	na		N																																	
NMH	N	24	NMH/24	body	Y	19	10.46	salmon3	salmon3	salmon3	Abundant			_		N	N						Y																								Y			notAdzera
NMH	N	25	NMH/25	body	N	4.1	9.1	salmon3	salmon4	salmon4	Abundant			_		N	N																																	
NMH	N	26	NMH/26	body	N	3.6	9.89	salmon3	salmon4	salmon4	Abundant			_		N	N																																	
NMH	N	41	NMH/41	body	N	112.3	15.8	sienna4	sienna4	dark grey	Moderate			_			Y																																	
NMH	N	1	NMH/1	body	Y	22	8.6	sienna4	tan4	tan4	Sparse			_		N						Y	Y							Y																				notAdzera
NMI	N	1	NMI/1	body	N	64.2	10.81	sienna3	dark grey	dark grey	Moderate			_		N																																		
NMJ	N	1	NMJ/1	body	Y	23.1	9.57	salmon4	salmon4	salmon4	Moderate			_		Y			Y						Y			Y		Y														Y						notAdzera
NMJ	N	2	NMJ/2	body	N	34.4	12.66	dark grey	tan4	tan4	Moderate			_		Y	N																																	
NMJ	N	4	NMJ/4	body	N	20.5	12.35	salmon4	salmon4	salmon4	Moderate			_		Y	Y																																	
NMJ	N	5	NMJ/5	body	N	10.1	8.15	salmon4	salmon4	salmon4	Moderate			_		Y	Y																																	
